__time,/uwb/range/field_of_view,/uwb/range/header/stamp/nanosec,/uwb/range/header/stamp/sec,/uwb/range/max_range,/uwb/range/min_range,/uwb/range/radiation_type,/uwb/range/range
1733393485.159376,0.000000000,136530920.000000000,1733393485.000000000,20.000000000,0.100000001,0.000000000,2.122041225
1733393485.331120,0.000000000,276514318.000000000,1733393485.000000000,20.000000000,0.100000001,0.000000000,2.150183201
1733393485.467572,0.000000000,436814239.000000000,1733393485.000000000,20.000000000,0.100000001,0.000000000,2.136112213
1733393485.638524,0.000000000,581404250.000000000,1733393485.000000000,20.000000000,0.100000001,0.000000000,2.082340479
1733393485.745357,0.000000000,721138530.000000000,1733393485.000000000,20.000000000,0.100000001,0.000000000,2.154873371
1733393486.015599,0.000000000,879832236.000000000,1733393485.000000000,20.000000000,0.100000001,0.000000000,2.112383842
1733393486.049076,0.000000000,21153774.000000000,1733393486.000000000,20.000000000,0.100000001,0.000000000 ,2.097362280
1733393486.346224,0.000000000,322461947.000000000,1733393486.000000000,20.000000000,0.100000001,0.000000000,2.154873371
1733393486.559873,0.000000000,460743347.000000000,1733393486.000000000,20.000000000,0.100000001,0.000000000,2.112383842
1733393486.631452,0.000000000,602818539.000000000,1733393486.000000000,20.000000000,0.100000001,0.000000000,2.136112213
1733393486.865827,0.000000000,760912967.000000000,1733393486.000000000,20.000000000,0.100000001,0.000000000,2.097362280
1733393486.929738,0.000000000,900997512.000000000,1733393486.000000000,20.000000000,0.100000001,0.000000000,2.126731396
1733393487.176430,0.000000000,41730136.000000000,1733393487.000000000,20.000000000,0.100000001,0.000000000 ,2.150183201
1733393487.225388,0.000000000,201073484.000000000,1733393487.000000000,20.000000000,0.100000001,0.000000000,2.126731396
1733393487.365035,0.000000000,341067142.000000000,1733393487.000000000,20.000000000,0.100000001,0.000000000,2.122041225
1733393487.596755,0.000000000,481068299.000000000,1733393487.000000000,20.000000000,0.100000001,0.000000000,2.112383842
1733393487.659062,0.000000000,636574626.000000000,1733393487.000000000,20.000000000,0.100000001,0.000000000,2.140802383
1733393487.945136,0.000000000,921322619.000000000,1733393487.000000000,20.000000000,0.100000001,0.000000000,2.150183201
1733393488.198318,0.000000000,81366807.000000000,1733393488.000000000,20.000000000,0.100000001,0.000000000 ,2.117350340
1733393488.244394,0.000000000,220827177.000000000,1733393488.000000000,20.000000000,0.100000001,0.000000000,2.117350340
1733393488.403055,0.000000000,361850013.000000000,1733393488.000000000,20.000000000,0.100000001,0.000000000,2.122041225
1733393488.606208,0.000000000,520908669.000000000,1733393488.000000000,20.000000000,0.100000001,0.000000000,2.122041225
1733393488.689563,0.000000000,661359311.000000000,1733393488.000000000,20.000000000,0.100000001,0.000000000,2.122041225
1733393488.915208,0.000000000,800749733.000000000,1733393488.000000000,20.000000000,0.100000001,0.000000000,2.112383842
1733393489.128189,0.000000000,99776525.000000000,1733393489.000000000,20.000000000,0.100000001,0.000000000 ,2.154873371
